Teff,log_g,Fe_H,a_1,a_2,a_3,a_4
 4021.90,1.50,-2.0, 0.84456,-0.76778, 1.23522,-0.47691
 4037.03,2.00,-2.0, 0.89530,-0.77725, 1.18806,-0.44948
 4452.94,2.00,-2.0, 0.81263,-0.37575, 0.64468,-0.27769
 4037.59,2.50,-2.0, 1.11125,-1.17838, 1.48294,-0.53509
 4426.04,2.50,-2.0, 0.81568,-0.41184, 0.75138,-0.32653
 5390.37,2.50,-2.0, 1.34432,-1.48955, 1.39733,-0.45803
 5509.14,3.00,-2.0, 1.49230,-1.77544, 1.60287,-0.51103
 5961.94,3.50,-2.0, 1.52174,-2.09689, 2.08328,-0.72135
 5059.64,4.00,-2.0, 0.61349, 0.59102,-0.68016, 0.26718
 5480.60,4.00,-2.0, 1.34191,-1.24066, 1.08662,-0.34626
 5954.96,4.00,-2.0, 1.55205,-1.98130, 1.87250,-0.63127
 6419.24,4.00,-2.0, 1.48555,-1.78835, 1.56305,-0.48613
 5787.32,4.44,-2.0, 1.41695,-1.46999, 1.31905,-0.43467
 4976.19,4.50,-2.0, 0.97837,-0.06992,-0.08696, 0.04704
 5462.38,4.50,-2.0, 0.94913,-0.00469,-0.30923, 0.18070
 6064.09,4.50,-2.0, 1.32910,-1.38293, 1.25363,-0.40688
 6500.28,4.50,-2.0, 1.36174,-1.65358, 1.61576,-0.55292
 4980.19,5.00,-2.0, 1.15377,-0.46164, 0.26068,-0.07802
 5463.42,5.00,-2.0, 0.71663, 0.66891,-1.02348, 0.43455
 4042.38,1.50,-1.0, 0.98829,-1.35585, 1.94535,-0.73971
 4472.00,1.50,-1.0, 0.72246,-0.56883, 1.05111,-0.44398
 4047.76,2.00,-1.0, 0.69242,-0.53804, 0.99971,-0.35207
 4498.97,2.00,-1.0, 0.59611,-0.35058, 0.89109,-0.38987
 4063.17,2.50,-1.0, 0.66742,-0.25775, 0.56844,-0.16380
 4508.09,2.50,-1.0, 0.72903,-0.65429, 1.18046,-0.48402
 4503.05,3.00,-1.0, 0.70810,-0.55353, 1.03830,-0.40766
 5476.23,3.00,-1.0, 0.64152,-0.11157, 0.27004,-0.11018
 4975.93,3.50,-1.0, 0.48717, 0.09987, 0.31725,-0.17679
 5450.91,3.50,-1.0, 0.51383, 0.27665,-0.13797, 0.03973
 5907.99,3.50,-1.0, 0.81046,-0.35400, 0.34980,-0.10941
 4956.78,4.00,-1.0, 0.48898, 0.12361, 0.31593,-0.18579
 5437.76,4.00,-1.0, 0.44707, 0.34717,-0.09772,-0.00336
 5958.44,4.00,-1.0, 0.61524, 0.02859, 0.06554,-0.02481
 6413.03,4.00,-1.0, 1.03356,-0.89449, 0.86631,-0.29154
 5765.80,4.44,-1.0, 0.51418, 0.46779,-0.45164, 0.17510
 4953.63,4.50,-1.0, 0.38186, 0.38429, 0.10122,-0.12252
 5506.04,4.50,-1.0, 0.28547, 0.92758,-0.75540, 0.23593
 5961.60,4.50,-1.0, 0.75164,-0.11645, 0.12671,-0.03546
 6435.89,4.50,-1.0, 0.77161,-0.30810, 0.32613,-0.10854
 4971.82,5.00,-1.0, 0.33125, 0.52743,-0.02793,-0.09271
 5528.91,5.00,-1.0, 0.17193, 1.14092,-0.87833, 0.24913
 3899.43,2.00,-0.5, 0.72743,-0.51324, 0.87195,-0.28326
 4461.67,2.00,-0.5, 0.92546,-1.08275, 1.50451,-0.56849
 3899.65,2.50,-0.5, 0.57888,-0.04452, 0.34526,-0.08115
 4503.34,2.50,-0.5, 0.83867,-0.90934, 1.31132,-0.47645
 4950.97,2.50,-0.5, 0.77854,-0.83162, 1.31194,-0.55132
 4912.91,3.00,-0.5, 0.72127,-0.66840, 1.10695,-0.44444
 5479.60,3.00,-0.5, 0.64807,-0.28685, 0.57095,-0.25045
 4344.11,3.50,-0.5, 0.88350,-0.72179, 0.99791,-0.33361
 4917.82,3.50,-0.5, 0.75041,-0.70680, 1.13757,-0.45021
 5505.98,3.50,-0.5, 0.60104,-0.12627, 0.40734,-0.19419
 5988.06,3.50,-0.5, 0.83408,-0.45937, 0.47862,-0.16154
 4441.77,4.00,-0.5, 0.80695,-0.52443, 0.82261,-0.28677
 4910.47,4.00,-0.5, 0.67703,-0.60039, 1.02369,-0.41050
 5513.71,4.00,-0.5, 0.58495,-0.13024, 0.44071,-0.20061
 6038.71,4.00,-0.5, 0.72542,-0.23892, 0.32007,-0.11437
 6455.69,4.00,-0.5, 0.98210,-0.72156, 0.64928,-0.20435
 5718.03,4.44,-0.5, 0.53166, 0.10021, 0.14365,-0.08516
 4383.32,4.50,-0.5, 0.74559,-0.20194, 0.38341,-0.11190
 5457.22,4.50,-0.5, 0.44941, 0.17983, 0.19932,-0.13747
 5968.38,4.50,-0.5, 0.59370, 0.02913, 0.13859,-0.07229
 6503.68,4.50,-0.5, 0.80564,-0.42244, 0.47668,-0.17497
 6986.84,4.50,-0.5, 1.18390,-1.42173, 1.47248,-0.53770
 4447.10,5.00,-0.5, 0.77841,-0.13251, 0.21778,-0.04959
 4860.02,5.00,-0.5, 0.41839, 0.18015, 0.29679,-0.16707
 4014.99,1.50, 0.0, 0.95918,-1.20361, 1.72922,-0.62464
 4070.69,2.00, 0.0, 0.87466,-1.08410, 1.62306,-0.58952
 4554.69,2.00, 0.0, 0.79565,-0.67485, 1.11250,-0.44630
 4881.31,2.00, 0.0, 1.14720,-1.57995, 1.99521,-0.79432
 3958.11,2.50, 0.0, 0.64982,-0.49205, 0.97992,-0.33403
 4533.90,2.50, 0.0, 0.80545,-0.88349, 1.42077,-0.55622
 5015.94,2.50, 0.0, 0.73678,-0.63883, 1.12140,-0.47284
 4508.67,3.00, 0.0, 0.75807,-0.75561, 1.27702,-0.48803
 5010.39,3.00, 0.0, 0.65758,-0.49043, 1.01274,-0.44534
 5459.13,3.00, 0.0, 0.47703, 0.30343,-0.11977, 0.02426
 4548.87,3.50, 0.0, 0.84179,-0.87469, 1.36348,-0.51301
 5011.53,3.50, 0.0, 0.68237,-0.48914, 0.99226,-0.42687
 5560.38,3.50, 0.0, 0.58841,-0.02189, 0.28342,-0.14926
 6025.18,3.50, 0.0, 0.82432,-0.38134, 0.32039,-0.07696
 4524.22,4.00, 0.0, 0.82574,-0.75649, 1.21817,-0.45419
 4992.30,4.00, 0.0, 0.74495,-0.64539, 1.15301,-0.47911
 5509.78,4.00, 0.0, 0.59003,-0.13090, 0.49076,-0.23864
 6014.61,4.00, 0.0, 0.60726, 0.00894, 0.13238,-0.06465
 6432.73,4.00, 0.0, 0.86591,-0.61065, 0.66788,-0.24360
 5787.92,4.44, 0.0, 0.64540,-0.20932, 0.50986,-0.23447
 4532.22,4.50, 0.0, 0.65416,-0.21970, 0.61104,-0.22401
 4982.27,4.50, 0.0, 0.66273,-0.42080, 0.94713,-0.41499
 5530.74,4.50, 0.0, 0.59925,-0.13012, 0.49612,-0.23583
 6020.75,4.50, 0.0, 0.59622, 0.00373, 0.18938,-0.09738
 6491.63,4.50, 0.0, 0.81519,-0.40090, 0.45265,-0.16593
 6907.57,4.50, 0.0, 1.04697,-0.91259, 0.86377,-0.29666
 4526.03,5.00, 0.0, 0.72942,-0.19873, 0.47357,-0.16298
 4976.20,5.00, 0.0, 0.51685, 0.09218, 0.38044,-0.20079
 5509.50,5.00, 0.0, 0.50978, 0.06996, 0.34212,-0.19953
 4056.19,2.00, 0.5, 0.84962,-0.97813, 1.54935,-0.56871
 3953.50,2.50, 0.5, 0.68359,-0.67443, 1.18034,-0.38531
 4470.97,2.50, 0.5, 1.02085,-1.29641, 1.79407,-0.65857
 4490.40,3.00, 0.5, 0.92762,-1.12554, 1.63406,-0.60031
 4963.15,3.00, 0.5, 0.83475,-0.83945, 1.33880,-0.53649
 4531.27,3.50, 0.5, 0.91643,-0.98290, 1.44458,-0.52598
 4988.91,3.50, 0.5, 0.79246,-0.78202, 1.31503,-0.53963
 4549.22,4.00, 0.5, 0.81438,-0.68022, 1.10012,-0.38975
 5083.68,4.00, 0.5, 0.75519,-0.64865, 1.13738,-0.45974
 5542.42,4.00, 0.5, 0.72589,-0.57870, 1.06766,-0.47087
 5824.45,4.44, 0.5, 0.70518,-0.35367, 0.70342,-0.31373
 4543.15,4.50, 0.5, 0.51529,-0.04656, 0.39423,-0.13309
 5056.36,4.50, 0.5, 0.73182,-0.59415, 1.10814,-0.45256
 5554.75,4.50, 0.5, 0.70271,-0.52684, 1.00149,-0.43545
 5938.44,4.50, 0.5, 0.66716,-0.33138, 0.70191,-0.32160
 4953.82,5.00, 0.5, 0.63589,-0.29320, 0.76170,-0.31004
 5550.69,5.00, 0.5, 0.69645,-0.39295, 0.83525,-0.36962
